# MAGPI master source catalogue
#
# Generated 2024-08-23-16:45:12
# MAGPIID  -  unique MAGPI identifier
# segID    -  Segmentation ID, which can be matched against values in segim
# xmax     -  x position of maximum flux
# ymax     -  y position of maximum flux
# RAmax    -  Right Ascension of max flux
# Decmax   -  Declination of max flux
# z        -  Redshift. Only robust for QOP=3,4
# QOP      -  Redshift quality [4=great, 3=good, 2=possible, 1=unknown, 0=error]
# mag_rt   -  total r-band magnitude
# mag_it   -  total i-band magnitude
# R50_it   -  Approximate elliptical semi-major axis containing 50% of the flux (arcsec)
# R90_it   -  Approximate elliptical semi-major axis containing 90% of the flux (arcsec)
# axrat_it -  Axial ratio as given by min/maj
# ang_it   -  Orientation of the semi-major axis (cc from Y axis)
MAGPIID,segID,xmax,ymax,RAmax,Decmax,z,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it
1202294254,8,294.50,254.50,175.333369,-1.579127,0.3599,1,23.651,22.954,0.443,1.220,0.851,128.97
1202297132,23,297.50,132.50,175.333203,-1.585905,0.5585,3,23.655,22.929,0.578,1.058,0.865,8.04
1202299352,185,299.50,352.50,175.333092,-1.573683,0.4556,1,26.164,25.682,0.448,0.648,0.851,103.17
1202300176,21,300.50,176.50,175.333036,-1.583461,0.3733,4,23.207,22.879,0.597,1.098,0.790,124.78
1202301169,12,301.50,169.50,175.332980,-1.583849,0.6884,4,21.972,21.322,0.991,1.811,0.734,105.95
1202304238,81,304.50,238.50,175.332814,-1.580016,0.4558,1,25.849,25.123,0.659,1.074,0.892,24.61
1202314150,18,314.50,150.50,175.332258,-1.584905,0.5634,4,22.322,21.872,0.836,1.605,0.894,78.96
1202314189,10,314.50,189.50,175.332258,-1.582738,0.7251,4,22.608,21.881,0.893,2.154,0.674,55.52
1202316118,118,316.50,118.50,175.332147,-1.586683,0.3972,1,26.162,25.813,0.454,0.682,0.854,104.66
1202318064,75,318.50,64.50,175.332036,-1.589683,0.7252,2,25.944,24.903,0.553,0.859,0.663,132.53
1202327163,78,327.50,163.50,175.331535,-1.584183,0.5630,2,25.835,25.615,0.428,0.700,0.880,13.03
1202330214,35,330.50,214.50,175.331369,-1.581349,0.9194,3,24.312,23.759,0.565,1.061,0.804,38.88
1202334224,38,334.50,224.50,175.331146,-1.580794,0.6451,1,25.534,25.061,0.371,0.689,0.773,75.04
1202334253,50,334.50,253.50,175.331146,-1.579183,0.7480,1,24.133,24.467,0.702,1.076,0.695,137.38
1202338098,43,338.50,98.50,175.330924,-1.587794,0.5792,1,24.667,24.636,0.447,0.756,0.874,118.10
1202339199,127,339.50,199.50,175.330868,-1.582183,0.6471,1,25.514,24.551,0.836,1.314,0.931,97.95
1202342042,42,342.50,42.50,175.330702,-1.590905,0.7253,2,24.531,24.214,0.576,0.896,0.517,90.83
1202342080,85,342.50,80.50,175.330702,-1.588794,0.9174,2,25.016,24.510,0.671,1.007,0.789,41.59
1202349194,56,349.50,194.50,175.330313,-1.582461,1.1803,1,25.745,25.758,0.433,0.648,0.874,2.88
1202351207,69,351.50,207.50,175.330202,-1.581738,0.0859,1,25.366,25.415,0.500,0.797,0.717,21.21
